Energy(keV) 	 Hits(N) 
1646	8720187	
1647	8724261	
1648	8728332	
1649	8732400	
1650	8736465	
1651	8740527	
1652	8744585	
1653	8748641	
1654	8752694	
1655	8756744	
1656	8760791	
1657	8764835	
1658	8768876	
1659	8772914	
1660	8776948	
1661	8780980	
1662	8785009	
1663	8789035	
1664	8793058	
1665	8797077	
1666	8801094	
1667	8805108	
1668	8809118	
1669	8813126	
1670	8817130	
1671	8821132	
1672	8825130	
1673	8829126	
1674	8833118	
1675	8837108	
1676	8841094	
1677	8845077	
1678	8849057	
1679	8853034	
1680	8857009	
1681	8860979	
1682	8864947	
1683	8868912	
1684	8872874	
1685	8876833	
1686	8880788	
1687	8884741	
1688	8888690	
1689	8892637	
1690	8896580	
1691	8900520	
1692	8904457	
1693	8908391	
1694	8912322	
1695	8916250	
1696	8920175	
1697	8924096	
1698	8928015	
1699	8931930	
1700	8935843	
1701	8939752	
1702	8943658	
1703	8947561	
1704	8951461	
1705	8955357	
1706	8959251	
1707	8963141	
1708	8967029	
1709	8970913	
1710	8974794	
1711	8978672	
1712	8982546	
1713	8986418	
1714	8990287	
1715	8994152	
1716	8998014	
1717	9001873	
1718	9005729	
1719	9009582	
1720	9013431	
1721	9017278	
1722	9021121	
1723	9024961	
1724	9028798	
1725	9032631	
1726	9036462	
1727	9040289	
1728	9044114	
1729	9047935	
1730	9051752	
1731	9055567	
1732	9059378	
1733	9063187	
1734	9066992	
1735	9070794	
1736	9074592	
1737	9078388	
1738	9082180	
1739	9085969	
1740	9089755	
1741	9093538	
1742	9097317	
1743	9101093	
1744	9104866	
1745	9108636	
1746	9112403	
1747	9116166	
1748	9119926	
1749	9123683	
1750	9127437	
1751	9131187	
1752	9134934	
1753	9138678	
1754	9142419	
1755	9146157	
1756	9149891	
1757	9153622	
1758	9157350	
1759	9161074	
1760	9164795	
1761	9168513	
1762	9172228	
1763	9175940	
1764	9179648	
1765	9183353	
1766	9187054	
1767	9190753	
1768	9194448	
1769	9198140	
1770	9201828	
1771	9205514	
1772	9209196	
1773	9212875	
1774	9216550	
1775	9220222	
1776	9223891	
1777	9227557	
1778	9231219	
1779	9234878	
1780	9238534	
1781	9242186	
1782	9245835	
1783	9249481	
1784	9253124	
1785	9256763	
1786	9260399	
1787	9264031	
1788	9267661	
1789	9271287	
1790	9274909	
1791	9278528	
1792	9282144	
1793	9285757	
1794	9289366	
1795	9292972	
1796	9296575	
1797	9300174	
1798	9303770	
1799	9307363	
1800	9310952	
1801	9314538	
1802	9318121	
1803	9321700	
